sample,from,to,sync_ms,clean_blk_s
0,9900,9999,106,943.3
1,19900,19999,92,1086.9
2,29900,29999,102,980.3
3,39900,39999,86,1162.7
4,49900,49999,109,917.4
5,59900,59999,71,1408.4
6,69900,69999,83,1204.8
7,79900,79999,97,1030.9
8,89900,89999,73,1369.8
9,99900,99999,86,1162.7
10,109900,109999,88,1136.3
11,119900,119999,74,1351.3
12,129900,129999,111,900.9
13,139900,139999,70,1428.5
14,149900,149999,91,1098.9
15,159900,159999,96,1041.6
16,169900,169999,87,1149.4
17,179900,179999,70,1428.5
18,189900,189999,108,925.9
19,199900,199999,92,1086.9
20,209900,209999,77,1298.7
21,219900,219999,110,909.0
22,229900,229999,79,1265.8
23,239900,239999,94,1063.8
24,249900,249999,71,1408.4
25,259900,259999,95,1052.6
26,269900,269999,87,1149.4
27,279900,279999,112,892.8
28,289900,289999,94,1063.8
29,299900,299999,82,1219.5
30,309900,309999,81,1234.5
31,319900,319999,70,1428.5
32,329900,329999,78,1282.0
33,339900,339999,98,1020.4
34,349900,349999,86,1162.7
35,359900,359999,93,1075.2
36,369900,369999,90,1111.1
37,379900,379999,62,1612.9
38,389900,389999,92,1086.9
39,399900,399999,105,952.3
40,409900,409999,99,1010.1
41,419900,419999,99,1010.1
42,429900,429999,65,1538.4
43,439900,439999,66,1515.1
44,449900,449999,74,1351.3
45,459900,459999,78,1282.0
46,469900,469999,85,1176.4
47,479900,479999,75,1333.3
48,489900,489999,92,1086.9
49,499900,499999,91,1098.9
50,509900,509999,76,1315.7
51,519900,519999,75,1333.3
52,529900,529999,93,1075.2
53,539900,539999,106,943.3
54,549900,549999,74,1351.3
55,559900,559999,73,1369.8
56,569900,569999,91,1098.9
57,579900,579999,77,1298.7
58,589900,589999,69,1449.2
59,599900,599999,70,1428.5
60,609900,609999,87,1149.4
61,619900,619999,93,1075.2
62,629900,629999,81,1234.5
63,639900,639999,90,1111.1
64,649900,649999,81,1234.5
65,659900,659999,93,1075.2
66,669900,669999,70,1428.5
67,679900,679999,95,1052.6
68,689900,689999,112,892.8
69,699900,699999,77,1298.7
70,709900,709999,79,1265.8
71,719900,719999,78,1282.0
72,729900,729999,96,1041.6
73,739900,739999,69,1449.2
74,749900,749999,71,1408.4
75,759900,759999,100,1000.0
76,769900,769999,86,1162.7
77,779900,779999,89,1123.5
78,789900,789999,71,1408.4
79,799900,799999,81,1234.5
80,809900,809999,94,1063.8
81,819900,819999,81,1234.5
82,829900,829999,89,1123.5
83,839900,839999,96,1041.6
84,849900,849999,75,1333.3
85,859900,859999,74,1351.3
86,869900,869999,73,1369.8
87,879900,879999,87,1149.4
88,889900,889999,109,917.4
89,899900,899999,99,1010.1
90,909900,909999,97,1030.9
91,919900,919999,91,1098.9
92,929900,929999,74,1351.3
93,939900,939999,104,961.5
94,949900,949999,64,1562.5
95,959900,959999,100,1000.0
96,969900,969999,79,1265.8
97,979900,979999,101,990.0
98,989900,989999,87,1149.4
99,999900,999999,100,1000.0
100,1009900,1009999,91,1098.9
101,1019900,1019999,87,1149.4
102,1029900,1029999,86,1162.7
103,1039900,1039999,89,1123.5
104,1049900,1049999,100,1000.0
