sid,from,to,ms,blk_s,rc
0,0,99,266,375.94,0
1,100000,100099,272,367.65,0
2,200000,200099,282,354.61,0
3,300000,300099,266,375.94,0
4,400000,400099,264,378.79,0
5,500000,500099,289,346.02,0
6,600000,600099,271,369.0,0
7,700000,700099,294,340.14,0
8,800000,800099,269,371.75,0
9,900000,900099,269,371.75,0
10,1000000,1000099,277,361.01,0
11,1100000,1100099,299,334.45,0
12,1200000,1200099,298,335.57,0
13,1300000,1300099,289,346.02,0
14,1400000,1400099,261,383.14,0
15,1500000,1500099,280,357.14,0
16,1600000,1600099,314,318.47,0
17,1700000,1700099,282,354.61,0
18,1800000,1800099,295,338.98,0
19,1900000,1900099,247,404.86,0
20,2000000,2000099,269,371.75,0
21,2100000,2100099,274,364.96,0
22,2200000,2200099,300,333.33,0
23,2300000,2300099,275,363.64,0
24,2400000,2400099,6029,16.59,0
25,2500000,2500099,309,323.62,0
26,2600000,2600099,332,301.2,0
27,2700000,2700099,890,112.36,0
28,2800000,2800099,264,378.79,0
29,2900000,2900099,302,331.13,0
30,3000000,3000099,317,315.46,0
31,3100000,3100099,355,281.69,0
32,3200000,3200099,289,346.02,0
33,3300000,3300099,340,294.12,0
34,3400000,3400099,314,318.47,0
35,3500000,3500099,307,325.73,0
36,3600000,3600099,287,348.43,0
37,3700000,3700099,312,320.51,0
38,3800000,3800099,438,228.31,0
39,3900000,3900099,439,227.79,0
40,4000000,4000099,352,284.09,0
41,4100000,4100099,421,237.53,0
42,4200000,4200099,1317,75.93,0
43,4300000,4300099,456,219.3,0
44,4400000,4400099,633,157.98,0
45,4500000,4500099,477,209.64,0
46,4600000,4600099,505,198.02,0
47,4700000,4700099,592,168.92,0
48,4800000,4800099,612,163.4,0
49,4900000,4900099,681,146.84,0
50,5000000,5000099,622,160.77,0
51,5100000,5100099,660,151.52,0
52,5200000,5200099,726,137.74,0
53,5300000,5300099,765,130.72,0
54,5400000,5400099,606,165.02,0
55,5500000,5500099,655,152.67,0
56,5600000,5600099,797,125.47,0
