sid,from,to,ms,blk_s,rc
0,0,99,285,350.88,0
1,100000,100099,282,354.61,0
2,200000,200099,311,321.54,0
3,300000,300099,272,367.65,0
4,400000,400099,269,371.75,0
5,500000,500099,270,370.37,0
6,600000,600099,260,384.62,0
7,700000,700099,260,384.62,0
8,800000,800099,289,346.02,0
9,900000,900099,253,395.26,0
10,1000000,1000099,254,393.7,0
11,1100000,1100099,262,381.68,0
12,1200000,1200099,275,363.64,0
13,1300000,1300099,249,401.61,0
14,1400000,1400099,262,381.68,0
15,1500000,1500099,267,374.53,0
16,1600000,1600099,330,303.03,0
17,1700000,1700099,298,335.57,0
18,1800000,1800099,270,370.37,0
19,1900000,1900099,269,371.75,0
20,2000000,2000099,273,366.3,0
21,2100000,2100099,293,341.3,0
22,2200000,2200099,296,337.84,0
23,2300000,2300099,275,363.64,0
24,2400000,2400099,8974,11.14,0
25,2500000,2500099,312,320.51,0
26,2600000,2600099,277,361.01,0
27,2700000,2700099,937,106.72,0
28,2800000,2800099,253,395.26,0
29,2900000,2900099,304,328.95,0
30,3000000,3000099,334,299.4,0
31,3100000,3100099,365,273.97,0
32,3200000,3200099,297,336.7,0
33,3300000,3300099,327,305.81,0
34,3400000,3400099,333,300.3,0
35,3500000,3500099,268,373.13,0
36,3600000,3600099,300,333.33,0
37,3700000,3700099,309,323.62,0
38,3800000,3800099,444,225.23,0
39,3900000,3900099,439,227.79,0
40,4000000,4000099,348,287.36,0
41,4100000,4100099,423,236.41,0
42,4200000,4200099,504,198.41,0
43,4300000,4300099,430,232.56,0
44,4400000,4400099,381,262.47,0
45,4500000,4500099,523,191.2,0
46,4600000,4600099,611,163.67,0
47,4700000,4700099,603,165.84,0
48,4800000,4800099,484,206.61,0
49,4900000,4900099,667,149.93,0
50,5000000,5000099,673,148.59,0
51,5100000,5100099,674,148.37,0
52,5200000,5200099,893,111.98,0
53,5300000,5300099,781,128.04,0
54,5400000,5400099,821,121.8,0
55,5500000,5500099,735,136.05,0
56,5600000,5600099,770,129.87,0
57,5700000,5700099,721,138.7,0
58,5800000,5800099,856,116.82,0
59,5900000,5900099,652,153.37,0
60,6000000,6000099,786,127.23,0
61,6100000,6100099,905,110.5,0
62,6200000,6200099,888,112.61,0
63,6300000,6300099,759,131.75,0
64,6400000,6400099,611,163.67,0
65,6500000,6500099,893,111.98,0
66,6600000,6600099,955,104.71,0
67,6700000,6700099,731,136.8,0
68,6800000,6800099,861,116.14,0
69,6900000,6900099,715,139.86,0
70,7000000,7000099,695,143.88,0
71,7100000,7100099,597,167.5,0
72,7200000,7200099,627,159.49,0
73,7300000,7300099,606,165.02,0
74,7400000,7400099,658,151.98,0
75,7500000,7500099,856,116.82,0
76,7600000,7600099,720,138.89,0
77,7700000,7700099,823,121.51,0
78,7800000,7800099,921,108.58,0
79,7900000,7900099,1106,90.42,0
80,8000000,8000099,933,107.18,0
81,8100000,8100099,988,101.21,0
82,8200000,8200099,886,112.87,0
83,8300000,8300099,1112,89.93,0
