sid,from,to,ms,blk_s,rc
0,0,99,253,395.26,0
1,100000,100099,277,361.01,0
2,200000,200099,275,363.64,0
3,300000,300099,264,378.79,0
4,400000,400099,283,353.36,0
5,500000,500099,267,374.53,0
6,600000,600099,272,367.65,0
7,700000,700099,285,350.88,0
8,800000,800099,265,377.36,0
9,900000,900099,279,358.42,0
10,1000000,1000099,271,369.0,0
11,1100000,1100099,276,362.32,0
12,1200000,1200099,302,331.13,0
13,1300000,1300099,276,362.32,0
14,1400000,1400099,269,371.75,0
15,1500000,1500099,302,331.13,0
16,1600000,1600099,313,319.49,0
17,1700000,1700099,299,334.45,0
18,1800000,1800099,276,362.32,0
19,1900000,1900099,275,363.64,0
20,2000000,2000099,283,353.36,0
21,2100000,2100099,296,337.84,0
22,2200000,2200099,283,353.36,0
23,2300000,2300099,291,343.64,0
24,2400000,2400099,8035,12.45,0
25,2500000,2500099,319,313.48,0
26,2600000,2600099,368,271.74,0
27,2700000,2700099,845,118.34,0
28,2800000,2800099,391,255.75,0
29,2900000,2900099,252,396.83,0
30,3000000,3000099,281,355.87,0
31,3100000,3100099,260,384.62,0
32,3200000,3200099,303,330.03,0
33,3300000,3300099,301,332.23,0
34,3400000,3400099,274,364.96,0
35,3500000,3500099,284,352.11,0
36,3600000,3600099,294,340.14,0
37,3700000,3700099,296,337.84,0
38,3800000,3800099,359,278.55,0
39,3900000,3900099,352,284.09,0
40,4000000,4000099,337,296.74,0
41,4100000,4100099,362,276.24,0
42,4200000,4200099,422,236.97,0
43,4300000,4300099,437,228.83,0
44,4400000,4400099,398,251.26,0
45,4500000,4500099,444,225.23,0
46,4600000,4600099,430,232.56,0
47,4700000,4700099,571,175.13,0
48,4800000,4800099,474,210.97,0
49,4900000,4900099,646,154.8,0
50,5000000,5000099,698,143.27,0
51,5100000,5100099,589,169.78,0
52,5200000,5200099,649,154.08,0
53,5300000,5300099,564,177.3,0
54,5400000,5400099,517,193.42,0
55,5500000,5500099,614,162.87,0
56,5600000,5600099,859,116.41,0
57,5700000,5700099,634,157.73,0
58,5800000,5800099,732,136.61,0
59,5900000,5900099,499,200.4,0
60,6000000,6000099,578,173.01,0
61,6100000,6100099,577,173.31,0
62,6200000,6200099,643,155.52,0
63,6300000,6300099,634,157.73,0
64,6400000,6400099,495,202.02,0
65,6500000,6500099,605,165.29,0
66,6600000,6600099,777,128.7,0
67,6700000,6700099,619,161.55,0
68,6800000,6800099,580,172.41,0
69,6900000,6900099,723,138.31,0
70,7000000,7000099,549,182.15,0
71,7100000,7100099,586,170.65,0
72,7200000,7200099,766,130.55,0
73,7300000,7300099,566,176.68,0
74,7400000,7400099,566,176.68,0
75,7500000,7500099,629,158.98,0
76,7600000,7600099,725,137.93,0
77,7700000,7700099,823,121.51,0
78,7800000,7800099,724,138.12,0
79,7900000,7900099,654,152.91,0
80,8000000,8000099,922,108.46,0
81,8100000,8100099,835,119.76,0
82,8200000,8200099,756,132.28,0
83,8300000,8300099,642,155.76,0
84,8400000,8400099,709,141.04,0
85,8500000,8500099,618,161.81,0
86,8600000,8600099,871,114.81,0
87,8700000,8700099,945,105.82,0
88,8800000,8800099,858,116.55,0
89,8900000,8900099,753,132.8,0
90,9000000,9000099,1024,97.66,0
91,9100000,9100099,911,109.77,0
92,9200000,9200099,664,150.6,0
93,9300000,9300099,871,114.81,0
94,9400000,9400099,917,109.05,0
95,9500000,9500099,998,100.2,0
96,9600000,9600099,639,156.49,0
97,9700000,9700099,704,142.05,0
98,9800000,9800099,795,125.79,0
99,9900000,9900099,1053,94.97,0
100,10000000,10000099,1108,90.25,0
101,10100000,10100099,834,119.9,0
102,10200000,10200099,903,110.74,0
103,10300000,10300099,1033,96.81,0
104,10400000,10400099,1062,94.16,0
105,10500000,10500099,1173,85.25,0
106,10600000,10600099,1195,83.68,0
107,10700000,10700099,1120,89.29,0
108,10800000,10800099,1481,67.52,0
109,10900000,10900099,2013,49.68,0
110,11000000,11000099,2175,45.98,0
111,11100000,11100099,2086,47.94,0
112,11200000,11200099,2104,47.53,0
113,11300000,11300099,2169,46.1,0
114,11400000,11400099,1816,55.07,0
115,11500000,11500099,2019,49.53,0
116,11600000,11600099,2269,44.07,0
117,11700000,11700099,2110,47.39,0
118,11800000,11800099,2235,44.74,0
119,11900000,11900099,1726,57.94,0
120,12000000,12000099,2355,42.46,0
121,12100000,12100099,2354,42.48,0
122,12200000,12200099,2368,42.23,0
123,12300000,12300099,2294,43.59,0
124,12400000,12400099,2360,42.37,0
125,12500000,12500099,2079,48.1,0
126,12600000,12600099,2362,42.34,0
127,12700000,12700099,2519,39.7,0
128,12800000,12800099,3005,33.28,0
129,12900000,12900099,3038,32.92,0
130,13000000,13000099,2180,45.87,0
131,13100000,13100099,3357,29.79,0
132,13200000,13200099,2976,33.6,0
133,13300000,13300099,2944,33.97,0
134,13400000,13400099,2762,36.21,0
135,13500000,13500099,2892,34.58,0
136,13600000,13600099,3107,32.19,0
137,13700000,13700099,3297,30.33,0
138,13800000,13800099,3249,30.78,0
139,13900000,13900099,3235,30.91,0
140,14000000,14000099,2364,42.3,0
141,14100000,14100099,3043,32.86,0
142,14200000,14200099,3110,32.15,0
143,14300000,14300099,3184,31.41,0
144,14400000,14400099,2869,34.86,0
145,14500000,14500099,3311,30.2,0
146,14600000,14600099,3333,30.0,0
147,14700000,14700099,3349,29.86,0
148,14800000,14800099,3467,28.84,0
149,14900000,14900099,3402,29.39,0
150,15000000,15000099,3419,29.25,0
151,15100000,15100099,3142,31.83,0
152,15200000,15200099,2798,35.74,0
153,15300000,15300099,2132,46.9,0
154,15400000,15400099,3449,28.99,0
155,15500000,15500099,2829,35.35,0
156,15600000,15600099,3192,31.33,0
157,15700000,15700099,3133,31.92,0
158,15800000,15800099,3557,28.11,0
159,15900000,15900099,3313,30.18,0
160,16000000,16000099,3026,33.05,0
161,16100000,16100099,4414,22.66,0
162,16200000,16200099,3686,27.13,0
