block,reth,geth_cc,geth_total,delta,delta_pct
450000,2,2,2,0,0.0
750000,2,2,2,0,0.0
850000,1,1,1,0,0.0
950000,1,1,1,0,0.0
1050000,5,5,5,0,0.0
1150000,23,21,21,2,9.5
1250000,1,1,1,0,0.0
1350000,40,42,42,-2,-4.8
1450000,1,1,1,0,0.0
1550000,190,190,190,0,0.0
1950000,13,13,13,0,0.0
2050000,23,23,23,0,0.0
2150000,4,4,4,0,0.0
2650000,1,1,1,0,0.0
2750000,80,80,80,0,0.0
2850000,19,19,19,0,0.0
2950000,3,3,3,0,0.0
3050000,55,55,55,0,0.0
3150000,37,36,36,1,2.8
3250000,3,3,3,0,0.0
3550000,5,5,5,0,0.0
3650000,33,33,33,0,0.0
3750000,24,24,24,0,0.0
3850000,56,56,56,0,0.0
3950000,202,206,206,-4,-1.9
4050000,63,81,81,-18,-22.2
4150000,100,109,109,-9,-8.3
4250000,377,377,377,0,0.0
4350000,190,209,209,-19,-9.1
4450000,225,257,257,-32,-12.5
4550000,180,204,204,-24,-11.8
4650000,56,58,58,-2,-3.4
4750000,288,300,300,-12,-4.0
4850000,196,199,199,-3,-1.5
4950000,349,376,376,-27,-7.2
5050000,248,255,255,-7,-2.7
5150000,113,117,117,-4,-3.4
5250000,237,240,240,-3,-1.2
5350000,294,296,296,-2,-0.7
5450000,114,114,114,0,0.0
5550000,224,235,235,-11,-4.7
5650000,246,249,249,-3,-1.2
5750000,204,204,204,0,0.0
5850000,211,211,211,0,0.0
5950000,291,291,291,0,0.0
6050000,79,87,87,-8,-9.2
6150000,50,51,51,-1,-2.0
6250000,295,297,297,-2,-0.7
6350000,498,518,518,-20,-3.9
6450000,335,338,358,-3,-0.9
6550000,304,304,367,0,0.0
6650000,10,10,10,0,0.0
6750000,219,224,224,-5,-2.2
6850000,339,345,365,-6,-1.7
6950000,539,539,539,0,0.0
7050000,223,227,227,-4,-1.8
7150000,337,349,355,-12,-3.4
7250000,266,276,276,-10,-3.6
7350000,331,345,347,-14,-4.1
7450000,672,672,818,0,0.0
7550000,77,81,87,-4,-4.9
7650000,231,245,246,-14,-5.7
7750000,49,51,51,-2,-3.9
7850000,78,79,79,-1,-1.3
7950000,196,224,224,-28,-12.5
8050000,297,301,301,-4,-1.3
8150000,368,384,385,-16,-4.2
8250000,268,278,278,-10,-3.6
