block_number,reth_filtered,reth_total_raw,error
50000,0,1,
150000,0,1,
250000,0,1,
350000,0,1,
450000,2,3,
550000,0,2,
650000,0,1,
750000,2,3,
850000,1,2,
950000,1,3,
1050000,5,6,
1150000,23,24,
1250000,1,2,
1350000,40,41,
1450000,1,2,
1550000,190,192,
1650000,0,1,
1750000,0,1,
1850000,0,1,
1950000,13,14,
2050000,23,24,
2150000,4,5,
2250000,0,1,
2350000,0,1,
2450000,0,1,
2550000,0,1,
2650000,1,2,
2750000,80,81,
2850000,19,20,
2950000,3,4,
3050000,55,56,
3150000,37,38,
3250000,3,4,
3350000,0,1,
3450000,0,1,
3550000,5,7,
3650000,33,34,
3750000,24,25,
3850000,56,57,
3950000,202,203,
4050000,63,64,
4150000,100,101,
4250000,377,378,
4350000,190,191,
4450000,225,226,
4550000,180,181,
4650000,56,57,
4750000,288,290,
4850000,196,197,
4950000,349,350,
5050000,248,249,
5150000,113,114,
5250000,237,238,
5350000,294,295,
5450000,114,115,
5550000,224,225,
5650000,246,247,
5750000,204,205,
5850000,211,212,
5950000,291,292,
6050000,79,80,
6150000,50,51,
6250000,295,296,
6350000,498,499,
6450000,335,357,
6550000,304,368,
6650000,10,11,
6750000,219,220,
6850000,339,361,
6950000,539,540,
7050000,223,224,
7150000,337,344,
7250000,266,267,
7350000,331,334,
7450000,672,819,
7550000,77,84,
7650000,231,233,
7750000,49,50,
7850000,78,79,
7950000,196,197,
8050000,297,298,
8150000,368,370,
8250000,268,269,
8350000,429,447,
8450000,357,358,
8550000,269,270,
8650000,397,398,
8750000,197,198,
8850000,285,287,
8950000,708,710,
9050000,261,270,
9150000,191,192,
9250000,0,1,
9350000,3,4,
9450000,500,501,
9550000,308,309,
9650000,37,38,
9750000,443,444,
9850000,133,134,
9950000,63,64,
10050000,290,291,
10150000,449,453,
10250000,464,465,
10350000,615,616,
10450000,459,474,
10550000,572,573,
10650000,634,646,
10750000,492,493,
10850000,978,979,
10950000,760,761,
11050000,753,761,
11150000,600,604,
11250000,544,545,
11350000,845,846,
11450000,816,832,
11550000,785,793,
11650000,788,807,
11750000,875,951,
11850000,819,839,
11950000,549,550,
12050000,631,638,
12150000,619,623,
12250000,895,900,
12350000,623,637,
12450000,699,712,
12550000,774,775,
12650000,877,878,
12750000,883,897,
12850000,3,4,
12950000,897,912,
13050000,1532,1534,
13150000,186,190,
13250000,505,506,
13350000,705,706,
13450000,1611,1612,
13550000,270,271,
13650000,949,950,
13750000,1192,1193,
13850000,1018,1019,
13950000,1168,1169,
14050000,299,300,
14150000,1293,1294,
14250000,619,620,
14350000,967,968,
14450000,55,56,
14550000,1838,1839,
14650000,93,94,
14750000,1507,1508,
14850000,1232,1233,
14950000,722,723,
15050000,234,235,
15150000,1470,1471,
15250000,377,378,
15350000,509,510,
15450000,595,596,
15550000,677,677,
15650000,81,81,
15750000,752,752,
15850000,833,833,
15950000,709,709,
16050000,1039,1039,
16150000,668,668,
16250000,675,675,
16350000,585,585,
16450000,741,741,
16550000,1128,1128,
16650000,971,971,
16750000,982,982,
16850000,642,642,
16950000,513,513,
17050000,422,422,
17150000,342,342,
17250000,1436,1436,
17350000,556,557,
17450000,685,685,
17550000,841,841,
17650000,812,812,
17750000,977,977,
17850000,744,744,
17950000,939,939,
18050000,819,819,
18150000,576,576,
18250000,815,815,
18350000,655,655,
18450000,654,654,
18550000,865,865,
18650000,1416,1416,
18750000,513,513,
18850000,1001,1001,
18950000,550,550,
19050000,633,633,
19150000,816,816,
19250000,696,696,
19350000,701,701,
19450000,1023,1023,
19550000,1732,1732,
19650000,676,676,
19750000,2479,2479,
19850000,324,325,
19950000,3323,3323,
20050000,1109,1109,
20150000,538,538,
20250000,1308,1346,
20350000,528,528,
20450000,1389,1389,
20550000,1008,1008,
20650000,1204,1204,
20750000,1763,1763,
20850000,837,837,
20950000,1144,1144,
21050000,1320,1320,
21150000,1313,1314,
21250000,1526,1526,
21350000,935,935,
21450000,944,944,
21550000,1608,1608,
21650000,689,689,
21750000,650,650,
21850000,196,196,
21950000,1237,1237,
22050000,1159,1159,
22150000,1509,1509,
22250000,1416,1416,
22350000,924,924,
22450000,1415,1415,
22550000,383,383,
22650000,1380,1380,
22750000,3492,3492,
22850000,746,746,
22950000,1241,1243,
23050000,1367,1367,
23150000,1536,1536,
23250000,1436,1436,
23350000,1486,1486,
23450000,1966,1966,
23550000,1469,1469,
23650000,895,895,
23750000,499,499,
23850000,1644,1644,
23950000,1359,1359,
24050000,2111,2111,
24150000,494,494,
24250000,2277,2277,
24350000,1599,1599,
24450000,2725,2726,
24550000,2046,2046,
24650000,2353,2353,
24750000,2093,2094,
24850000,2738,2739,
24950000,1898,1898,
25050000,1877,1877,
25150000,2155,2155,
25250000,1881,1881,
25350000,1061,1061,
